"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"252","I hate myself for retweeting this but a lot of y’all have baby fever and this shit cured mine so fast lol so hopefu… https://t.co/IybhB2Nykg",FALSE,1,NA,2019-03-08 19:12:30,TRUE,NA,"1104097578902278146",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","thatcocoskin",1,FALSE,FALSE,NA,NA
"253","#NP 3. @orjan_nilsen X @dennissheperd X @Nifra X @estivamusic - Cabin Fever #Faces005 live now on https://t.co/cJ5wRbMEWu! #trancefamily",FALSE,1,NA,2019-03-08 19:11:00,FALSE,NA,"1104097200320270341",NA,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","djmaartendejong",0,FALSE,FALSE,NA,NA
"254","Sitting in the mall and watching people walk by with their babies and strollers... imbgetting baby fever 😩😩😩",FALSE,0,NA,2019-03-08 19:10:24,FALSE,NA,"1104097048113147904",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","The1in_Kansas",0,FALSE,FALSE,NA,NA
"255","La contracolumna https://t.co/iaTzDUo6O5",FALSE,0,NA,2019-03-08 19:10:23,FALSE,NA,"1104097043935424512",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","mcalderonplata",0,FALSE,FALSE,NA,NA
"256","I have the worst puppy fever 🙈🐶",FALSE,1,NA,2019-03-08 19:09:03,FALSE,NA,"1104096711138373632",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","cxo__p",0,FALSE,FALSE,NA,NA
"257","With sites like these, you'll want to catch cabin fever! https://t.co/2TUvvmo7Oq",FALSE,0,NA,2019-03-08 19:08:30,FALSE,NA,"1104096572726525952",NA,"<a href=""http://www.mainstreethub.com/consultation/?source=twitter_post_tool"" rel=""nofollow"">Main Street Hub</a>","LLCRV",0,FALSE,FALSE,NA,NA
"258","bro i got the worst baby fever",FALSE,2,NA,2019-03-08 19:08:20,FALSE,NA,"1104096531039297536",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","LizzyBrodiee99",0,FALSE,FALSE,NA,NA
"259","@DoomBot9 GET AWAY FROM ME WITH YOUR THIN HOT LEAF JUICE",FALSE,1,"DoomBot9",2019-03-08 19:07:00,FALSE,"1104087567417380872","1104096193855016961","722490536024625152","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","fever_bite",0,FALSE,FALSE,NA,NA
"260","I don’t have baby fever anymore, maybe I’m forever cured. https://t.co/HaoKqqEL0e",FALSE,0,NA,2019-03-08 19:06:21,FALSE,NA,"1104096030889398273",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","maddie_goodrich",0,FALSE,FALSE,NA,NA
"261","@RyobeatPeach @GetJanked @JKJssbm Ya when you're having an attack your body just makes no sense lmao. You can feel… https://t.co/zuduzIZuKh",FALSE,5,"RyobeatPeach",2019-03-08 19:06:04,TRUE,"1104092485742141446","1104095960286801920","1648623060","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","iBDWSSBM",0,FALSE,FALSE,NA,NA
"262","4. Hearing Emory Concert Choir perform Whitacre’s Alleluia for the first time
 5. Murking my piano recital at the a… https://t.co/V9APlvfpd7",FALSE,1,"Only_After_Ours",2019-03-08 19:04:57,TRUE,"1104095671131480064","1104095677217472518","144390730","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Only_After_Ours",0,FALSE,FALSE,NA,NA
"263","I keep it 100 like I’m runnin a fever 🤒",FALSE,0,NA,2019-03-08 19:04:45,FALSE,NA,"1104095629146550272",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","ThatManBryant",0,FALSE,FALSE,NA,NA
"264","@AdamCarollaShow White Line Fever was a classic ..",FALSE,0,"AdamCarollaShow",2019-03-08 19:04:25,FALSE,"1104081470866415616","1104095546107748352","394254612","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","screenmanroc",0,FALSE,FALSE,NA,NA
"265","I get the fever every time you cross my mind. #Balthazar #Concert #FacesOnTv #SupportAct #LottoArena #Antwerp… https://t.co/LGsE7iT9Ww",FALSE,0,NA,2019-03-08 19:04:22,TRUE,NA,"1104095530441940992",NA,"<a href=""http://instagram.com"" rel=""nofollow"">Instagram</a>","JennJ20",0,FALSE,FALSE,NA,NA
"266","Naw fr. My baby fever went out the window once I got that call 😬 https://t.co/mVDJMo36EF",FALSE,1,NA,2019-03-08 19:03:56,FALSE,NA,"1104095421666873344",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","_FlyingSaucer",0,FALSE,FALSE,NA,NA
"267","Why women got summer eves wipes and men don’t like they are walking around with mildew dick cheese with a side of a low grade fever.",FALSE,0,NA,2019-03-08 19:03:36,FALSE,NA,"1104095340045598721",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","thumbstrokes",0,FALSE,FALSE,NA,NA
"268","@HamillHimself Are you kidding?  We have created bingo cards around this terrible movie; thus, insuring that genera… https://t.co/WIFTYaPG0s",FALSE,2,"HamillHimself",2019-03-08 19:02:37,TRUE,"1104068530989785088","1104095092174811136","304679484","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","WhitneyBound",0,FALSE,FALSE,NA,NA
"269","@scottEweinberg White Line Fever is a fave for sure.",FALSE,0,"scottEweinberg",2019-03-08 19:01:23,FALSE,"1104093980860530689","1104094781792088064","19078594","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","billyjarrettugh",0,FALSE,FALSE,NA,NA
"270","It will be rainy this weekend, but there is still plenty to help break that cabin fever. https://t.co/ZF0LUypVhn https://t.co/jzx6NLgiyT",FALSE,0,NA,2019-03-08 19:00:05,FALSE,NA,"1104094452057075713",NA,"<a href=""https://buffer.com"" rel=""nofollow"">Buffer</a>","OttumwaCourier",0,FALSE,FALSE,NA,NA
"271","@_NMAA State of New Mexico with just a little over 2 million people will be in the top 3 to 5 in their attendance f… https://t.co/6yG11zHdui",FALSE,0,"_NMAA",2019-03-08 18:59:55,TRUE,"1103767362237591552","1104094409719603200","64325542","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","CoachHauck",0,FALSE,FALSE,NA,NA
"272","@LATbermudez Props to my Ps for being logical but respecting others’ beliefs. Too bad it meant memories of la vecin… https://t.co/PKFTuaC6YA",FALSE,0,"LATbermudez",2019-03-08 18:59:12,TRUE,"1104036338133696512","1104094230090272768","378749192","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","quefregados",0,FALSE,FALSE,NA,NA
"273","I just exported a video titled ""The Fever King gay"" so... look forward to that",FALSE,0,NA,2019-03-08 18:58:25,FALSE,NA,"1104094032471515136",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","misscocochen",0,FALSE,FALSE,NA,NA
"274","Tbh I was stone cold sober through all of the chaos last night and I thought the whole thing was a fever dream or j… https://t.co/kfs2NiSRaS",FALSE,4,NA,2019-03-08 18:57:49,TRUE,NA,"1104093881950449664",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","shanbonlooez",0,FALSE,FALSE,NA,NA
"275","@natwhatevs I want fever and pftw ones",FALSE,1,"natwhatevs",2019-03-08 18:57:44,FALSE,"1104082825505050624","1104093864225255424","2833356094","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","adickinson118",0,FALSE,FALSE,NA,NA
"276","Just when I thought baby fever wasn’t treatable https://t.co/AlKCEeunWN",FALSE,0,NA,2019-03-08 18:57:25,FALSE,NA,"1104093780511199232",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","_iamkinaa",0,FALSE,FALSE,NA,NA
"277","NJ: Borrelia miyamotoi (hard tick relapsing fever) was recently detected in a deer tick sent to our lab from Monmou… https://t.co/deuW5XSEjy",FALSE,2,NA,2019-03-08 18:57:14,TRUE,NA,"1104093737322332160",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","ticknologylab",1,FALSE,FALSE,NA,NA
"278","You can help us get the film reviewed!

Check out our movie and leave a review at https://t.co/w90eS2TnMy https://t.co/iDLdCPHVzd",FALSE,1,NA,2019-03-08 18:56:59,FALSE,NA,"1104093672382099457",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","FeverAndFret",0,FALSE,FALSE,NA,NA
"279","RIP Jan-Michael Vincent. TFH is bummed. 

https://t.co/pzZiikSL9F

Here is TFH Guru Jonathan Kaplan on his slam-ban… https://t.co/MEfvTw1njB",FALSE,50,NA,2019-03-08 18:56:54,TRUE,NA,"1104093652463177729",NA,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","TrailersFromHel",13,FALSE,FALSE,NA,NA
"280","I’m happy to not be sexually active right now bc the amount of baby fever I have is at an all time high 😂😩🤦🏽‍♀️ that’s how Danni came 😂💀",FALSE,0,NA,2019-03-08 18:56:48,FALSE,NA,"1104093626479587328",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","_TLenc",0,FALSE,FALSE,NA,NA
"281","Thank you everyone! Fever finally broke and he’s back to playing Fortnite which is how I know he is feeling better! 😂",FALSE,5,"lovetoread423",2019-03-08 18:56:11,FALSE,"1103830014473183233","1104093470803853313","975377239679422465","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","lovetoread423",0,FALSE,FALSE,NA,NA
"282","We know of the public anti-semitism displayed by @IlhanMN, @AOC &amp; @RashidaTlaib, and it’s horrendous, despite their… https://t.co/6RdbMAtTPP",FALSE,0,NA,2019-03-08 18:55:39,TRUE,NA,"1104093336577691649",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","southernharmony",0,FALSE,FALSE,NA,NA
"283","Baby fever hits harder when you know you aren’t having anymore babies 😩 my poor ovaries",FALSE,3,NA,2019-03-08 18:55:37,FALSE,NA,"1104093329787105281",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","azummy44",0,FALSE,FALSE,NA,NA
"284","@SoapJenn Just don't let her get cat-scratch fever from the cat-poo yard!",FALSE,0,"SoapJenn",2019-03-08 18:55:33,FALSE,"1104093008520187904","1104093312846307328","422876110","<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","TheMikeDubin",0,FALSE,FALSE,NA,NA
"285","@10CoachMonroe when not clouded by hot take fever, they both have really intelligent thought out opinions on real issues",FALSE,1,"10CoachMonroe",2019-03-08 18:55:12,FALSE,"1104092961179164673","1104093223931297792","810734797622538240","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","ralvarez617",0,FALSE,FALSE,NA,NA
"286","@ShelYoutubery I promise I’ll get there
My right kidney is fked up &amp; anytime I get a fever I cant break that lasts… https://t.co/GIbJUBcE6Y",FALSE,3,"ShelYoutubery",2019-03-08 18:54:08,TRUE,"1104091426047098880","1104092955097419777","930055988790616065","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","NikiLeaMadison",0,FALSE,FALSE,NA,NA
"287","i’m nasty as a scorpio &amp; she’s a lucky libra got her wet like she’s sweating out a fever.",FALSE,0,NA,2019-03-08 18:53:54,FALSE,NA,"1104092895768993792",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","RoyalPurp",0,FALSE,FALSE,NA,NA
"288","@emonrobinson22 Dawg you not helping my dog fever bro",FALSE,1,"emonrobinson22",2019-03-08 18:53:44,FALSE,"1104088988988657664","1104092854509584384","2269959763","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Ko1iver",0,FALSE,FALSE,NA,NA
"289","fever still raging on but have the insane urge to back a cake",FALSE,0,NA,2019-03-08 18:53:38,FALSE,NA,"1104092831050801152",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","EKWickman",0,FALSE,FALSE,NA,NA
"290","https://t.co/Gp6UKA1bCc",FALSE,3,NA,2019-03-08 18:53:24,FALSE,NA,"1104092771294564353",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","nohoestez",0,FALSE,FALSE,NA,NA
"291","CJ from White Line Fever has passed... https://t.co/DObqsSpMx4",FALSE,0,NA,2019-03-08 18:53:20,FALSE,NA,"1104092756157321217",NA,"<a href=""http://www.facebook.com/twitter"" rel=""nofollow"">Facebook</a>","Matttews",0,FALSE,FALSE,NA,NA
"292","im coming down with MAJOR baby fever cause i really really wanna throw a slice of cheese at their face and watch them be confused",FALSE,0,NA,2019-03-08 18:53:20,FALSE,NA,"1104092754232176643",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","MarjoWinston",0,FALSE,FALSE,NA,NA
"293","I’m getting tattoo fever again",FALSE,0,NA,2019-03-08 18:53:19,FALSE,NA,"1104092749391908873",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Jazzzyfayee",0,FALSE,FALSE,NA,NA
"294","👇good to see our @gazgroove practising his Saturday night fever dance moves whilst refereeing 😂Nice move GVJ.… https://t.co/1Gb851zESS",FALSE,5,NA,2019-03-08 18:53:12,TRUE,NA,"1104092720543485952",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","LWMiniRFC",0,FALSE,FALSE,NA,NA
"295","TENNESSEE MULE hand selected Single Barrel Jack Daniel’s, lime juice and Fever-Three ginger beer #Tennesseemule… https://t.co/SkxqWoEJS6",FALSE,0,NA,2019-03-08 18:52:21,TRUE,NA,"1104092506713665544",NA,"<a href=""http://instagram.com"" rel=""nofollow"">Instagram</a>","PearStreet",0,FALSE,FALSE,"-122.29017","38.00567"
"296","@SeeRockCity I am missing that grilled chicken sandwich with the yella fever sauce",FALSE,1,"SeeRockCity",2019-03-08 18:51:47,FALSE,"1103344505133166592","1104092363985698816","15484142","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","andys_journeys",0,FALSE,FALSE,NA,NA
"297","A sad goodbye to Jan-Michael Vincent who passed away on 02/10 (just announced on BING). I grew up watching him on T… https://t.co/TE0EqzbhkB",FALSE,0,NA,2019-03-08 18:51:03,TRUE,NA,"1104092181638332416",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","ffernan312",0,FALSE,FALSE,NA,NA
"298","Still have a fever today.... boohoohoo #stuckathome",FALSE,0,NA,2019-03-08 18:50:57,FALSE,NA,"1104092154232631296",NA,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>","bluerobogeddon",0,FALSE,FALSE,NA,NA
"299","Star of White Line Fever and Baby Blue Marine, Jan Michael-Vincent dies at 73
(Variety didn't mentioned those two B… https://t.co/7PF5SVo2oZ",FALSE,0,NA,2019-03-08 18:50:39,TRUE,NA,"1104092079771156481",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","FondueHellKat",0,FALSE,FALSE,NA,NA
"300","What a weird cold. I don’t have symptoms beyond coughing, but the coughing‘s so bad it’s given me a headache and an… https://t.co/s0Cec02lRK",FALSE,0,NA,2019-03-08 18:49:54,TRUE,NA,"1104091891845513216",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","J_M_T_",0,FALSE,FALSE,NA,NA
"301","The most iconic part of last night was when @yeksachannah looked over at me and I was in tears 😅 Jonas fever is too real",FALSE,1,NA,2019-03-08 18:49:40,FALSE,NA,"1104091831438999552",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","RiahStrickland",0,FALSE,FALSE,NA,NA
"302","This shit feels like teenage fever ☀️",FALSE,0,NA,2019-03-08 18:49:27,FALSE,NA,"1104091778175692801",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","laaau_giiadans",0,FALSE,FALSE,NA,NA
"303","Y’all have baby fever, I have house fever",FALSE,0,NA,2019-03-08 18:49:22,FALSE,NA,"1104091757661302790",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","clarissaaa_g",0,FALSE,FALSE,NA,NA
"304","before 8am this morning - ellie had a blow out, ellie had a fever, ellie threw up all over my new shirt &amp; I just.... sat there for a bit lol",FALSE,0,NA,2019-03-08 18:49:15,FALSE,NA,"1104091729483882496",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","vdominguez__",0,FALSE,FALSE,NA,NA
"305","TONIGHT! come run away with me as i celebrate life, that tug of war of higher highs and fever lows... don't make me… https://t.co/IYRYkeytoF",FALSE,5,"georgiemorvis",2019-03-08 18:48:50,TRUE,"1103038585593364481","1104091621052821504","25018803","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","georgiemorvis",2,FALSE,FALSE,NA,NA
"306","I think I’m gettin gangsta fever 💔",FALSE,0,NA,2019-03-08 18:48:42,FALSE,NA,"1104091586999263232",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","iSNiPPEDYoASS",0,FALSE,FALSE,NA,NA
"307","Damn it’s expensive to have a baby y’all sure y’all still having baby fever 😂 https://t.co/e1P3G1tf0i",FALSE,1,NA,2019-03-08 18:48:40,FALSE,NA,"1104091579571191809",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","childish_Fame",0,FALSE,FALSE,NA,NA
"308","@goodreads The Fever King (Feverwake, #1) by Victoria Lee",FALSE,0,"goodreads",2019-03-08 18:48:05,FALSE,"1104019166800031744","1104091434406371336","15898172","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","rachel_troyer93",0,FALSE,FALSE,NA,NA
"309","@pacificscouting from @DevyWatch popped into @RookieFever to drop some knowledge on the 2019 Rookie Class. Be sure… https://t.co/3AZ7vc6zUR",FALSE,17,"pacificscouting",2019-03-08 18:48:05,TRUE,NA,"1104091434402099203","4786711632","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","DFF_Swag",25,FALSE,FALSE,NA,NA
"310","One of THE BEST live acts out today PERIOD!!! Get on out, see what everyone is talking about! There is a Fever Comi… https://t.co/ScMQO30sAB",FALSE,1,NA,2019-03-08 18:47:38,TRUE,NA,"1104091320447057920",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","Cullensaidthis",0,FALSE,FALSE,NA,NA
"311","I dunno if this is a fever dream or not but I vaguely remember an animated thing where a big name character like do… https://t.co/b2CuQuCKhN",FALSE,0,NA,2019-03-08 18:46:09,TRUE,NA,"1104090949108420608",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","CorruptedWaffle",0,FALSE,FALSE,NA,NA
"312","Baby fever all over again",FALSE,0,NA,2019-03-08 18:45:28,FALSE,NA,"1104090776785612801",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","RasChris89",0,FALSE,FALSE,NA,NA
"313","MANY Shows coming up - MARCH MADNESS MEETS SPRING FEVER! - https://t.co/r1zc6Z75lr https://t.co/wo9Bvdy0F7",FALSE,0,NA,2019-03-08 18:45:27,FALSE,NA,"1104090772629012481",NA,"<a href=""http://www.mailchimp.com"" rel=""nofollow"">MailChimp</a>","hintofnuts",0,FALSE,FALSE,NA,NA
"314","Stream going live at 3:30pm EST. Phase 2 of this fever dream is already unfolding. Hope to see you all there :)",FALSE,2,NA,2019-03-08 18:45:23,FALSE,NA,"1104090755738546176",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","JonnyRottenSuh",1,FALSE,FALSE,NA,NA
"315","""yeah my nose is super clogged and i had a fever this morning"" https://t.co/j1ujeIqyBe",FALSE,4,NA,2019-03-08 18:45:23,FALSE,NA,"1104090755646263297",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","jackcalz",0,FALSE,FALSE,NA,NA
"316","Are you ready for the fever of cash and prizes? We'll see you at 4pm. https://t.co/YeIa4cKUzk",FALSE,2,NA,2019-03-08 18:45:06,FALSE,NA,"1104090683013505024",NA,"<a href=""https://sproutsocial.com"" rel=""nofollow"">Sprout Social</a>","FourWindsCasino",1,FALSE,FALSE,NA,NA
